Kezdet;Vég;Kezdeményező;Fogadó
21.09.27-23:54:28;21.09.27-23:57:19;Erzsi;Dénes
21.09.27-23:55:14;21.09.28-00:00:18;Annamari;Norbert
21.09.27-23:57:43;21.09.28-00:02:33;Anna;Norbert
21.09.27-23:58:04;21.09.28-00:00:15;Lili;Zsombor
21.09.28-00:00:15;21.09.28-00:00:53;Laci;Anna
21.09.28-00:01:12;21.09.28-00:08:02;Gábor;Laci
21.09.28-00:01:03;21.09.28-00:11:46;Marietta;Marci
21.09.28-00:02:09;21.09.28-00:11:00;Lili;Kata
21.09.28-00:04:07;21.09.28-00:07:45;Annamari;Laci
21.09.28-00:06:32;21.09.28-00:10:15;Dénes;Lili
21.09.28-00:06:03;21.09.28-00:14:40;Zsombor;Annamari
21.09.28-00:09:29;21.09.28-00:19:48;Gizella;Zsombor
21.09.28-00:11:54;21.09.28-00:19:25;Laci;Kata
21.09.28-00:14:15;21.09.28-00:21:37;Dénes;Laci
21.09.28-00:16:18;21.09.28-00:19:43;Botond;Kata
21.09.28-00:16:41;21.09.28-00:21:12;Annamari;Tibor
21.09.28-00:17:35;21.09.28-00:27:26;Gábor;Erzsi
21.09.28-00:27:17;21.09.28-00:29:51;Pali;Tibor
21.09.28-00:27:41;21.09.28-00:37:23;Botond;Pali
21.09.28-00:28:15;21.09.28-00:28:51;Krisztián;Lili
21.09.28-00:28:23;21.09.28-00:28:41;Kata;Bence
21.09.28-00:28:42;21.09.28-00:33:20;Bence;Annamari
21.09.28-00:29:29;21.09.28-00:34:59;Anna;Bence
21.09.28-00:30:59;21.09.28-00:32:14;Zsombor;Kata
21.09.28-00:31:37;21.09.28-00:38:03;Marci;Norbert
21.09.28-00:35:30;21.09.28-00:36:44;Laci;Botond
21.09.28-00:35:57;21.09.28-00:36:50;Erzsi;Kata
21.09.28-00:36:19;21.09.28-00:40:47;Marci;Erzsi
21.09.28-00:36:50;21.09.28-00:42:25;Annamari;Marietta
21.09.28-00:37:24;21.09.28-00:42:18;Dénes;Lili
21.09.28-00:37:18;21.09.28-00:46:26;Norbert;Dénes
21.09.28-00:41:56;21.09.28-00:42:32;Norbert;Pali
21.09.28-00:41:11;21.09.28-00:45:00;Gizella;Zsombor
21.09.28-00:41:27;21.09.28-00:46:37;Zsombor;Tibor
21.09.28-00:45:29;21.09.28-00:49:17;Annamari;Krisztián
21.09.28-00:47:19;21.09.28-00:51:43;Botond;Marietta
21.09.28-00:47:30;21.09.28-00:53:41;Zsombor;Tibor
21.09.28-00:49:52;21.09.28-00:54:22;Norbert;Dénes
21.09.28-00:52:58;21.09.28-00:54:09;Marietta;Botond
21.09.28-00:52:19;21.09.28-00:55:54;Laci;Tibor
21.09.28-00:53:26;21.09.28-00:57:01;Andrea;Anna
21.09.28-00:53:00;21.09.28-01:02:14;Anna;Gizella
21.09.28-00:54:13;21.09.28-00:59:56;Marci;Gábor
21.09.28-00:58:14;21.09.28-01:05:45;Erzsi;Pali
21.09.28-01:00:06;21.09.28-01:02:29;Zsombor;Laci
21.09.28-01:01:01;21.09.28-01:03:15;Tibor;Laci
21.09.28-01:03:59;21.09.28-01:09:56;Lili;Kata
21.09.28-01:03:32;21.09.28-01:10:56;Laci;Bence
21.09.28-01:03:44;21.09.28-01:13:10;Kata;Norbert
21.09.28-01:04:08;21.09.28-01:07:29;Lili;Gábor
21.09.28-01:05:32;21.09.28-01:12:21;Anna;Annamari
21.09.28-01:08:44;21.09.28-01:09:19;Andrea;Lili
21.09.28-01:08:44;21.09.28-01:10:46;Gábor;Kata
21.09.28-01:11:14;21.09.28-01:20:16;Lili;Kata
21.09.28-01:12:58;21.09.28-01:15:57;Bence;Lili
21.09.28-01:13:49;21.09.28-01:15:40;Gábor;Tibor
21.09.28-01:15:06;21.09.28-01:23:29;Marci;Zsombor
21.09.28-01:16:52;21.09.28-01:20:17;Gizella;Tibor
21.09.28-01:17:26;21.09.28-01:18:42;Dénes;Zsombor
21.09.28-01:17:18;21.09.28-01:26:14;Laci;Andrea
21.09.28-01:18:45;21.09.28-01:28:41;Kata;Zsombor
21.09.28-01:19:31;21.09.28-01:21:59;Botond;Dénes
21.09.28-01:19:16;21.09.28-01:28:03;Gábor;Marci
21.09.28-01:22:44;21.09.28-01:23:34;Lili;Andrea
21.09.28-01:24:08;21.09.28-01:34:55;Kata;Tibor
21.09.28-01:25:38;21.09.28-01:33:47;Andrea;Marietta
21.09.28-01:26:00;21.09.28-01:28:49;Marci;Pali
21.09.28-01:27:22;21.09.28-01:30:04;Bence;Pali
21.09.28-01:27:16;21.09.28-01:36:41;Gábor;Pali
21.09.28-01:28:30;21.09.28-01:29:26;Botond;Gábor
21.09.28-01:28:42;21.09.28-01:29:57;Tibor;Norbert
21.09.28-01:30:47;21.09.28-01:33:08;Botond;Gábor
21.09.28-01:31:39;21.09.28-01:33:20;Lili;Marietta
21.09.28-01:33:09;21.09.28-01:38:29;Pali;Gábor
21.09.28-01:33:04;21.09.28-01:40:14;Kata;Zsombor
21.09.28-01:34:30;21.09.28-01:35:02;Botond;Gábor
21.09.28-01:36:51;21.09.28-01:44:54;Norbert;Andrea
21.09.28-01:39:43;21.09.28-01:42:50;Annamari;Kata
21.09.28-01:41:50;21.09.28-01:48:45;Pali;Marci
21.09.28-01:42:02;21.09.28-01:43:41;Erzsi;Laci
21.09.28-01:45:02;21.09.28-01:47:39;Dénes;Lili
21.09.28-01:45:07;21.09.28-01:48:02;Erzsi;Laci
21.09.28-01:46:19;21.09.28-01:47:02;Bence;Laci
21.09.28-01:46:40;21.09.28-01:48:16;Erzsi;Marci
21.09.28-01:46:06;21.09.28-01:50:47;Pali;Dénes
21.09.28-01:50:01;21.09.28-01:51:45;Norbert;Erzsi
21.09.28-01:50:12;21.09.28-02:00:51;Kata;Zsombor
21.09.28-01:51:32;21.09.28-01:52:48;Gábor;Kata
21.09.28-01:51:53;21.09.28-01:58:22;Lili;Norbert
21.09.28-01:51:19;21.09.28-01:59:56;Gizella;Gábor
21.09.28-01:53:53;21.09.28-02:00:14;Laci;Gábor
21.09.28-01:57:29;21.09.28-02:05:53;Kata;Marci
21.09.28-02:01:25;21.09.28-02:06:35;Tibor;Marci
21.09.28-02:05:55;21.09.28-02:12:06;Krisztián;Bence
21.09.28-02:06:05;21.09.28-02:06:31;Bence;Pali
21.09.28-02:07:14;21.09.28-02:07:30;Bence;Botond
21.09.28-02:07:38;21.09.28-02:15:48;Pali;Krisztián
21.09.28-02:10:24;21.09.28-02:13:02;Norbert;Gizella
21.09.28-02:12:49;21.09.28-02:21:45;Laci;Dénes
21.09.28-02:13:49;21.09.28-02:18:37;Kata;Marci
21.09.28-02:14:39;21.09.28-02:14:53;Norbert;Krisztián
21.09.28-02:15:22;21.09.28-02:19:16;Lili;Kata
21.09.28-02:18:13;21.09.28-02:27:45;Zsombor;Pali
21.09.28-02:19:50;21.09.28-02:21:00;Botond;Kata
21.09.28-02:21:21;21.09.28-02:29:55;Krisztián;Zsombor
21.09.28-02:21:57;21.09.28-02:31:28;Marci;Bence
21.09.28-02:22:25;21.09.28-02:31:06;Zsombor;Norbert
21.09.28-02:23:48;21.09.28-02:30:47;Marci;Gizella
21.09.28-02:24:09;21.09.28-02:28:14;Krisztián;Botond
21.09.28-02:26:37;21.09.28-02:27:43;Lili;Dénes
21.09.28-02:30:06;21.09.28-02:33:34;Bence;Erzsi
21.09.28-02:31:11;21.09.28-02:37:34;Laci;Bence
21.09.28-02:34:33;21.09.28-02:42:30;Bence;Norbert
21.09.28-02:41:06;21.09.28-02:41:23;Marci;Botond
21.09.28-02:41:27;21.09.28-02:45:29;Lili;Annamari
21.09.28-02:42:58;21.09.28-02:43:08;Pali;Zsombor
21.09.28-02:43:32;21.09.28-02:47:41;Dénes;Marietta
21.09.28-02:43:16;21.09.28-02:48:00;Bence;Dénes
21.09.28-02:43:52;21.09.28-02:52:13;Lili;Norbert
21.09.28-02:44:40;21.09.28-02:54:39;Tibor;Kata
21.09.28-02:46:45;21.09.28-02:53:55;Annamari;Marietta
21.09.28-02:47:44;21.09.28-02:57:10;Erzsi;Laci
21.09.28-02:48:34;21.09.28-02:48:46;Dénes;Anna
21.09.28-02:48:04;21.09.28-02:49:31;Erzsi;Krisztián
21.09.28-02:50:00;21.09.28-02:51:36;Kata;Marci
21.09.28-02:50:52;21.09.28-02:58:35;Annamari;Erzsi
21.09.28-02:51:07;21.09.28-03:01:06;Marci;Gábor
21.09.28-02:52:31;21.09.28-02:54:05;Dénes;Marci
21.09.28-02:53:41;21.09.28-02:55:47;Krisztián;Kata
21.09.28-02:53:43;21.09.28-02:59:42;Krisztián;Zsombor
21.09.28-02:54:38;21.09.28-02:55:26;Gizella;Erzsi
21.09.28-02:54:32;21.09.28-02:58:52;Laci;Erzsi
21.09.28-02:56:57;21.09.28-02:57:48;Tibor;Dénes
